Title,Author,My Rating,Average Rating,Number of Pages,Year Published,Date Read,Date Added,Bookshelves
Sourdough,Robin Sloan,0,3.96,262,2017,,2017/09/25,currently-reading
Artemis,Andy Weir,0,3.94,,2017,,2017/09/17,to-read
Mate,Geoffrey Miller,0,4.17,385,2015,,2017/09/17,currently-reading
Grokking Deep Learning,Andrew W. Trask,0,4.29,325,2017,,2017/09/11,currently-reading
The Regional Office Is Under Attack!,Manuel  Gonzales,1,2.27,400,2016,2017/02/07,2016/12/25,2017
Start R in Calculus,Daniel T. Kaplan,1,2.33,81,2015,2016/09/06,2016/12/24,"2016, textbook"
The Graveyard Book,Neil Gaiman,0,4.12,312,2008,,2017/08/24,currently-reading
Proof: The Science of Booze,Adam Rogers,1,2.88,272,2014,2016/02/08,2015/12/15,2016
Make Your Mark,Jocelyn K. Glei,1,2.94,260,2014,2015/01/05,2015/01/05,2015
Neverwhere,Neil Gaiman,2,3.18,336,2009,2017/08/20,2017/08/16,2017
Bad Choices,Ali Almossawi,2,3.26,160,2017,2017/06/19,2017/06/18,2017
Statistics Done Wrong: The Woefully Complete Guide,Alex Reinhart,2,3.14,176,2015,2017/04/16,2017/04/05,"2017, textbook"
Coyote Blue,Christopher Moore,2,3.75,318,2008,2017/03/28,2017/03/28,2017
Only Humans Need Apply: Winners and Losers in the Age of Smart Machines,Thomas Hayes Davenport,2,2.54,288,2016,2017/03/26,2017/02/20,2017
Seven Brief Lessons on Physics,Carlo Rovelli,2,2.95,86,2016,2017/01/28,2017/01/27,2017
Bayesian Analysis with Python,Osvaldo Martin,2,2.67,282,2016,2017/01/18,2016/11/30,"2017, textbook"
Sapiens: A Brief History of Humankind,Yuval Noah Harari,0,4.42,443,2014,,2017/06/23,currently-reading
"Life, the Universe and Everything (Hitchhiker's Guide, #3)",Douglas Adams,2,3.19,199,2009,2016/09/28,2016/08/21,2016
Against the Gods: The Remarkable Story of Risk,Peter L. Bernstein,2,2.96,383,1998,2016/11/30,2016/07/23,2016
Simulation for Data Science with R,Matthias Templ,2,2,398,2016,2016/08/03,2016/07/19,"2016, textbook"
Practical Recommender Systems,Kim Falk,0,4,375,2016,,2017/05/29,"limbo, to-read"
The Vegetarian,Han Kang,2,3.59,183,2015,2016/07/04,2016/06/14,2016
The Cook and the Chef,Tim Urban,2,3.62,82,2016,2016/07/03,2016/06/02,2016
An Illustrated Book of Bad Arguments,Ali Almossawi,2,3.76,64,2014,2016/05/19,2016/05/18,2016
The Third Wave: An Entrepreneur's Vision of the Future,Steve Case,2,3.71,240,2016,2016/05/17,2016/05/15,2016
Soonish: Ten Emerging Technologies That'll Improve and/or Ruin Everything,Kelly Weinersmith,0,3.62,368,2017,,2017/04/08,to-read
"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",Douglas Adams,2,3.05,400,1989,2016/03/20,2016/02/21,2016
The Wanderer in Unknown Realms,John Connolly,2,3.93,96,2013,2016/01/25,2015/12/29,2016
Deep Simplicity: Bringing Order to Chaos and Complexity,John Gribbin,2,3.88,279,2005,2015/12/13,2015/12/02,2015
Phishing for Phools: The Economics of Manipulation and Deception,George A. Akerlof,2,3.39,288,2015,2015/11/11,2015/11/08,2015
The World According to Kanye,Herbert Lui,2,3.5,246,2015,2015/09/13,2015/09/13,2015
Machine Learning with R Cookbook - 110 Recipes for Building Powerful Predictive Models with R,Yu-Wei(David Chiu) Chiu,2,3,442,2015,2015/08/21,2015/08/06,"2015, textbook"
Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered,Austin Kleon,2,3.13,224,2014,2015/06/28,2015/06/02,2015
"Irrationally yours : on missing socks, pick-up lines and other existential puzzles",Dan Ariely,2,3.43,240,2015,2015/06/02,2015/05/27,2015
"In the Dust of This Planet (Horror of Philosophy, #1)",Eugene Thacker,2,3.66,170,2011,2015/04/26,2015/04/14,2015
The Global War on Morris,Steve Israel,2,2.64,305,2014,2015/03/17,2015/02/02,2015
The Rime of the Ancient Mariner,Samuel Taylor Coleridge,2,3.93,77,1970,2015/01/08,2015/01/08,2015
Love Factually: 10 Proven Steps from I Wish to I Do,Duana Welch,3,3.97,328,2015,2017/09/15,2017/09/05,2017
How Will You Measure Your Life?,Clayton M. Christensen,3,3.06,285,2012,2017/09/17,2017/08/27,2017
The Alchemist,Paulo Coelho,3,3.82,182,2014,2017/08/23,2017/08/21,2017
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,3,3.16,274,2007,2017/08/21,2017/08/20,2017
Dangerous,Milo Yiannopoulos,3,3.34,285,2017,2017/08/07,2017/08/01,2017
Deep learning with Python,Francois Chollet,3,3.57,350,2017,2017/09/11,2017/07/14,"2017, textbook"
The Hitchhiker's Guide to Python,Kenneth Reitz,3,3.94,338,2016,2017/06/13,2017/06/02,"2017, textbook"
Essential Sqlalchemy: Mapping Python to Databases,Jason Myers,3,3.83,208,2015,2017/05/30,2017/05/29,"2017, textbook"
Flask By Example,Gareth Dwyer,3,3.8,276,2016,2017/05/15,2017/04/11,"2017, textbook"
The Moral Landscape: How Science Can Determine Human Values,Sam Harris,3,3.91,379,2012,2017/07/09,2017/03/24,2017
Invent Your Own Computer Games with Python,Al Sweigart,3,3.97,368,2016,2017/03/24,2017/03/13,"2017, textbook"
"Know This: Today's Most Interesting and Important Scientific Ideas, Discoveries, and Developments",John Brockman,3,3.65,608,2017,2017/03/30,2017/02/20,2017
Python Data Science Handbook: Tools and Techniques for Developers,Jake Vanderplas,3,3.03,500,2016,2017/03/08,2017/01/19,"2017, textbook"
Sacré bleu,Christopher Moore,3,3.77,320,2012,2017/01/24,2017/01/07,2017
Weapons of Math Destruction: How Big Data Increases Inequality and Threatens Democracy,Cathy O'Neil,3,3.88,272,2016,2016/12/25,2016/11/30,2016
Work Rules!: Insights from Inside Google That Will Transform How You Live and Lead,Laszlo Bock,3,3.16,406,2015,2016/10/15,2016/08/28,2016
"Mostly Harmless (Hitchhiker's Guide, #5)",Douglas Adams,3,3.96,230,2009,2016/12/05,2016/08/21,2016
"So Long, and Thanks for All the Fish (Hitchhiker's Guide, #4)",Douglas Adams,3,3.08,167,2009,2016/11/27,2016/08/21,2016
"Data Visualization with Python and JavaScript: Scrape, Clean, Explore & Transform Your Data",Kyran Dale,3,3.08,592,2016,2016/10/03,2016/08/16,"2016, textbook"
"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,3,3.2,204,2009,2016/08/13,2016/08/08,2016
god is Not Great: How Religion Poisons Everything,Christopher Hitchens,3,3.96,307,2007,2016/09/01,2016/07/23,2016
Rework,Jason Fried,3,3.93,279,2010,2016/08/06,2016/07/19,2016
Sams Teach Yourself SQL in 10 Minutes,Ben Forta,3,3.99,256,2004,2016/05/19,2016/05/18,"2016, textbook"
Satin Island,Tom McCarthy,3,3.22,208,2015,2016/01/23,2016/01/18,2016
Emperor Mollusk versus the Sinister Brain,A. Lee Martinez,3,3.79,305,2012,2016/01/03,2015/12/29,2016
"Off to Be the Wizard (Magic 2.0, #1)",Scott  Meyer,3,3.98,386,2014,2015/12/21,2015/12/13,2015
Losing the Signal: The Untold Story Behind the Extraordinary Rise and Spectacular Fall of BlackBerry,Jacquie McNish,3,3.02,288,2015,2015/11/19,2015/11/15,2015
Doing Math with Python,Amit Saha,3,3.1,304,2015,2015/12/13,2015/11/08,"2015, textbook"
Solutions and Other Problems,Allie Brosh,0,4.18,384,,,2016/07/24,to-read
Exploratory Data Analysis with R,Roger D. Peng,3,3.72,184,2015,2015/08/05,2015/07/22,2015
"Introduction to Scientific Programming and Simulation Using R, Second Edition (Chapman & Hall/CRC The R Series)",Owen          Jones,3,3.5,606,2015,2015/07/22,2015/07/03,"2015, textbook"
The Prince,Niccolò Machiavelli,3,3.78,128,2006,2015/07/05,2015/06/22,2015
Python Data Science Essentials - Learn the fundamentals of Data Science with Python,Alberto Boschetti,3,3,258,2015,2015/08/05,2015/05/19,"2015, textbook"
When to Rob a Bank: ...And 131 More Warped Suggestions and Well-Intended Rants,Steven D. Levitt,3,3.47,405,2015,2015/05/21,2015/05/16,2015
Doing Data Science: Straight Talk from the Frontline,Rachel Schutt,3,3.77,404,2013,2015/06/03,2015/05/15,"2015, textbook"
"Annihilation (Southern Reach, #1)",Jeff VanderMeer,3,3.63,195,2014,2015/05/13,2015/05/10,2015
Data Science from Scratch: First Principles with Python,Joel Grus,3,3.92,330,2015,2015/05/13,2015/04/30,"2015, textbook"
"The Rosie Effect (Don Tillman, #2)",Graeme Simsion,3,3.56,415,2014,2015/05/04,2015/04/26,2015
Getting Real,Jason Fried,3,3.04,176,2011,2015/04/03,2015/03/30,2015
"Ajax Penumbra: 1969 (Mr. Penumbra's 24-Hour Bookstore, #0.5)",Robin Sloan,3,3.69,68,2013,2015/03/29,2015/03/27,2015
The Man Who Planted Trees,Jean Giono,3,3.23,74,2000,2015/01/08,2015/01/08,2015
Horrorstör,Grady Hendrix,3,3.59,240,2014,2015/01/06,2015/01/05,2015
Ready Player One,Ernest Cline,3,3.31,386,2011,2015/01/02,2015/01/05,2015
How Proust Can Change Your Life,Alain de Botton,4,3.77,208,1998,2017/08/27,2017/08/20,2017
Island of the Sequined Love Nun,Christopher Moore,4,3.78,325,2000,2017/08/16,2017/08/01,2017
"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,0,3.85,352,2014,,2016/05/15,"limbo, to-read"
"The Strange Death of Europe: Immigration, Identity, Islam",Douglas Murray,4,4.39,352,2017,2017/07/27,2017/07/09,2017
On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,4,4.32,128,2017,2017/06/02,2017/05/26,2017
Norse Mythology,Neil Gaiman,4,4.11,304,2017,2017/06/23,2017/05/15,2017
Things to Make and Do in the Fourth Dimension,Matt Parker,4,4.2,464,2014,2017/05/24,2017/04/21,2017
Exit West,Mohsin Hamid,4,3.82,231,2017,2017/04/08,2017/03/26,2017
William Shakespeare's Star Wars Trilogy: The Royal Box Set,Ian Doescher,4,4.52,520,2014,2017/02/18,2017/03/08,2017
"You Suck (A Love Story, #2)",Christopher Moore,4,3.82,328,2007,2017/02/26,2017/02/16,2017
"Bloodsucking Fiends (A Love Story, #1)",Christopher Moore,4,3.93,306,2003,2017/02/18,2017/02/15,2017
Business Adventures: Twelve Classic Tales from the World of Wall Street,John Brooks,0,3.83,468,2014,,2016/01/09,"to-read, limbo"
Fortune's Formula: The Untold Story of the Scientific Betting System That Beat the Casinos and Wall Street,William Poundstone,4,4.17,400,2006,2017/02/20,2017/02/06,2017
"The Serpent of Venice (The Fool, #2)",Christopher Moore,4,3.86,326,2014,2016/12/30,2016/12/17,2016
Hitman Anders and the Meaning of It All,Jonas Jonasson,4,3.32,312,2016,2016/12/12,2016/11/27,2016
Bandit Algorithms for Website Optimization,John Myles White,4,3.8,88,2012,2016/11/22,2016/11/21,"2016, textbook"
Beginning C++ Through Game Programming,Michael Dawson,4,3.85,390,2014,2016/11/30,2016/11/15,"2016, textbook"
Sacred Cows: The Truth About Divorce and Marriage,Astro Teller,4,3.62,169,2014,2016/09/20,2016/09/13,2016
"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,4,4.22,200,2009,2016/08/20,2016/08/17,2016
"The Big Over Easy (Nursery Crime, #1)",Jasper Fforde,4,3.92,383,2005,2016/08/28,2016/08/15,2016
Islamophilia,Douglas Murray,4,4.11,57,2013,2016/07/26,2016/07/24,2016
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",Allie Brosh,4,4.17,371,2013,2016/07/17,2016/07/14,2016
Grokking Algorithms An Illustrated Guide For Programmers and Other Curious People,Aditya Y. Bhargava,4,4.4,256,2015,2016/07/26,2016/06/05,"2016, textbook"
Getting Started with SQL: A Hands-On Approach for Beginners,Thomas Nield,4,3.92,134,2016,2016/05/24,2016/05/20,"2016, textbook"
How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,4,3.93,466,2014,2016/07/23,2016/05/18,2016
Narconomics: How To Run a Drug Cartel,Tom Wainwright,4,4.13,288,2016,2016/05/15,2016/05/06,2016
The Salmon of Doubt (Dirk Gently 3),Douglas Adams,4,3.92,400,2002,2016/05/18,2016/02/21,2016
The iOS Apprentice: Beginning IOS Development with Swift 2,Matthijs Hollemans,4,4.36,1018,2015,2016/06/10,2016/01/24,"2016, textbook"
iOS Programming: The Big Nerd Ranch Guide (Big Nerd Ranch Guides),Christian Keur,4,4.31,414,2015,2016/01/20,2016/01/03,"2016, textbook"
Thing Explainer: Complicated Stuff in Simple Words,Randall Munroe,4,4.15,64,2015,2016/01/07,2015/12/29,2016
Superforecasting: The Art and Science of Prediction,Philip E. Tetlock,4,4.14,352,2015,2016/05/05,2015/12/15,2016
"Secondhand Souls (Grim Reaper, #2)",Christopher Moore,4,3.91,371,2015,2016/01/01,2015/12/14,2016
"The Invention of Nature: The Adventures of Alexander von Humboldt, the Lost Hero of Science",Andrea Wulf,4,4.3,496,2015,2016/01/18,2015/12/13,2016
Fifteen Dogs,André Alexis,4,3.79,171,2015,2015/12/10,2015/12/01,2015
The Sisters Brothers,Patrick deWitt,4,3.83,328,2011,2015/12/07,2015/11/08,2015
The Signal and the Noise: Why So Many Predictions Fail - But Some Don't,Nate Silver,4,3.96,544,2012,2015/11/15,2015/11/08,2015
Islam and the Future of Tolerance: A Dialogue,Sam Harris,4,4.11,144,2015,2015/10/19,2015/10/18,2015
Sons of Wichita: How the Koch Brothers Became America's Most Powerful and Private Dynasty,Daniel Schulman,4,3.83,432,2014,2015/10/22,2015/10/16,2015
How Adam Smith Can Change Your Life: An Unexpected Guide to Human Nature and Happiness,Russ Roberts,4,3.9,261,2014,2015/10/12,2015/10/02,2015
The Financial Lives of the Poets,Jess Walter,4,3.69,304,2009,2015/09/21,2015/09/17,2015
How to Live Safely in a Science Fictional Universe,Charles Yu,4,3.38,233,2010,2015/05/08,2015/05/05,2015
R Programming for Data Science,Roger D. Peng,4,3.64,132,2015,2015/04/15,2015/04/14,"2015, textbook"
"The Utopia of Rules: On Technology, Stupidity, and the Secret Joys of Bureaucracy",David Graeber,4,4.01,261,2015,2015/04/14,2015/04/09,2015
Mr. Penumbra's 24-Hour Bookstore,Robin Sloan,4,3.75,288,2012,2015/03/24,2015/03/19,2015
The Ocean at the End of the Lane,Neil Gaiman,4,3.99,259,2013,2015/02/02,2015/01/29,2015
"Shades of Grey (Shades of Grey, #1)",Jasper Fforde,5,4.14,434,2010,2017/07/19,2017/06/23,2017
"Fluke: Or, I Know Why the Winged Whale Sings",Christopher Moore,5,3.73,321,2004,2017/03/28,2017/03/08,2017
"Bite Me (A Love Story, #3)",Christopher Moore,5,3.85,309,2010,2017/03/06,2017/02/16,2017
The Course of Love,Alain de Botton,5,4.02,240,2016,2017/01/26,2016/12/25,2017
R for Data Science,Hadley Wickham,5,4.82,250,2016,2016/10/27,2016/10/10,"2016, textbook"
The Invoice,Jonas Karlsson,5,3.61,204,2016,2016/10/09,2016/10/04,2016
The Sun & The Moon & The Rolling Stones,Rich Cohen,5,4,368,2016,2016/11/21,2016/08/29,2016
"The Fourth Bear (Nursery Crime, #2)",Jasper Fforde,5,4.07,382,2006,2016/09/11,2016/08/28,2016
The Curious Incident of the Dog in the Night-Time,Mark Haddon,5,3.85,272,2004,2016/08/07,2016/08/06,2016
Escape from Baghdad!,Saad Hossain,5,3.96,287,2015,2016/05/30,2016/05/21,2016
Algorithms To Live By: The Computer Science of Human Decisions,Brian Christian,5,4.16,368,2016,2016/06/19,2016/05/16,2016
Statistical Rethinking: A Bayesian Course with Examples in R and Stan,Richard McElreath,5,4.7,487,2015,2016/07/13,2016/04/15,"2016, textbook"
Show Me the Numbers: Designing Tables and Graphs to Enlighten,Stephen Few,5,3.86,371,2012,2016/01/28,2016/01/11,"2016, textbook"
Dirk Gently's Holistic Detective Agency (Dirk Gently #1),Douglas Adams,5,3.97,291,2009,2016/02/20,2016/01/09,2016
Stuff Matters: Exploring the Marvelous Materials That Shape Our Man-Made World,Mark Miodownik,5,4.06,272,2014,2015/12/02,2015/11/29,2015
"How Music Got Free: The End of an Industry, the Turn of the Century, and the Patient Zero of Piracy",Stephen Richard Witt,5,4.21,296,2015,2015/11/26,2015/11/24,2015
Undermajordomo Minor,Patrick deWitt,5,3.71,352,2015,2015/11/04,2015/10/02,2015
The Fish That Ate the Whale: The Life and Times of America's Banana King,Rich Cohen,5,3.96,287,2012,2015/10/02,2015/09/24,2015
Misbehaving: The Making of Behavioral Economics,Richard H. Thaler,5,4.13,432,2015,2015/11/08,2015/09/08,2015
Modern Romance,Aziz Ansari,5,3.85,288,2015,2015/09/07,2015/06/22,2015
Analyzing Baseball Data with R,Max Marchi,5,4.27,352,2013,2015/06/25,2015/05/27,"2015, textbook"
Free Will,Sam Harris,5,3.83,83,2012,2015/05/16,2015/05/14,2015
Hands-On Programming with R: Write Your Own Functions and Simulations,Garrett Grolemund,5,4.08,230,2014,2015/04/29,2015/04/23,"2015, textbook"
Flatland,Edwin A. Abbott,5,3.81,118,2015,2015/04/19,2015/04/19,2015
Think Python,Allen B. Downey,5,4.06,300,2012,2015/04/09,2015/04/01,"2015, textbook"
Waking Up: A Guide to Spirituality Without Religion,Sam Harris,5,3.87,257,2014,2015/01/25,2015/01/06,2015
How to Get Filthy Rich in Rising Asia,Mohsin Hamid,5,3.77,240,2013,2015/01/04,2015/01/05,2015