Year,"CO2 concentrations (NOAA, 2018)"
-103557,248.78
-103016,242.36
-102381,238.88
-102324,247.76
-101359,240.68
-100815,237.07
-100022,240.07
-99376,244.76
-98593,247.87
-98127,245.63
-97411,242.99
-96634,243.18
-95977,239.86
-95321,242.35
-94525,245.76
-93971,246.2
-93284,242.91
-92619,242.41
-91873,238.21
-91475,235.16
-90718,232.46
-90000,233.74
-89495,231.12
-88884,231.56
-88367,229.74
-87746,228.88
-87295,227.38
-86751,223.99
-86186,217.8
-85631,223.63
-85078,221.06
-84548,223.38
-83941,228.76
-83417,234.69
-82987,238.42
-82407,243.16
-81991,250.79
-81604,247.1
-81038,246.32
-80577,240.87
-80119,238.89
-79761,234.13
-79257,230.33
-78772,233.92
-78380,230.6
-77928,234.74
-77460,229.26
-77020,227.3
-76558,224.14
-76131,226.65
-75666,224.92
-75106,231.68
-74747,238.01
-74297,239.34
-73901,249.94
-73595,249.52
-73118,243.27
-72576,241.24
-72271,231.33
-71801,232.74
-71269,230.89
-70916,232.33
-70540,232.79
-70143,239.46
-69744,237.56
-69329,235.02
-68979,225.17
-68477,220.33
-68102,215.55
-67642,211.26
-67132,205.42
-66670,203.43
-66196,200.17
-65780,203.76
-65365,201.14
-65010,207.21
-64489,204.39
-63987,200.59
-63815,198.17
-63596,208.98
-63097,199.17
-62917,201.67
-62707,203.7
-62164,199.73
-61947,197.24
-61606,197.4
-61011,200.15
-60825,202.71
-60602,202.56
-59951,206.38
-59604,210.9
-59285,210.57
-59111,207.95
-58868,213.78
-58567,217.25
-58423,212.87
-58160,216.66
-57783,223.45
-57430,226.35
-57155,231.29
-56483,223.15
-56267,224.35
-55894,223.72
-55526,217.38
-55261,215.7
-54554,212.44
-54287,207.67
-53960,210.27
-53603,214.78
-53343,208.19
-53064,216.86
-52745,213.89
-52437,217.96
-52207,220.37
-51856,221.14
-51450,223.26
-51158,223.72
-50851,221.15
-50624,220.72
-50435,219.08
-50137,213.82
-49830,215.08
-49481,211.57
-49079,207.64
-48577,207.41
-48271,206.74
-48057,204.38
-47778,203.87
-47513,204.06
-47353,200.12
-47038,201.58
-46478,200.98
-46273,206.18
-45994,205.66
-45760,203.79
-45574,204.26
-45365,207.6
-45136,210.27
-44938,210.84
-44796,214.18
-44686,216.42
-44359,218.35
-44231,219.25
-44107,221.77
-43927,222.72
-43746,217.51
-43510,214.5
-43330,213.92
-43192,207.95
-43046,211.49
-42866,210.44
-42706,212.29
-42541,204.83
-42400,206.22
-42254,202
-42145,204.31
-41859,201.69
-41711,203.18
-41566,204.22
-41401,201.66
-41222,203.16
-41018,204.26
-40900,206.35
-40678,204.83
-40366,200.9
-39951,199.89
-39809,201.12
-39656,205.49
-39354,204.19
-39218,201.53
-38957,200.97
-38804,200.47
-38603,201.48
-38536,201.32
-38358,197.9
-38195,193.69
-38162,193.08
-38093,192.6
-37951,197.55
-37935,193.87
-37807,193.58
-37759,196.67
-37671,195.7
-37565,200.4
-37504,198.14
-37453,191.53
-37429,204.78
-37390,207.87
-37370,209.33
-37353,209.5
-37316,208.69
-37171,207.32
-37104,204.28
-37027,202.34
-37006,205.99
-36925,205.65
-36863,206.09
-36773,206.54
-36721,204.46
-36672,204.79
-36624,208.23
-36583,210.08
-36523,207.23
-36463,210.79
-36409,208
-36334,207.41
-36242,206.52
-36216,208.34
-36139,214.36
-36050,211.21
-35945,214.21
-35827,212.09
-35698,212.14
-35669,214.3
-35511,209.84
-35481,212.51
-35388,206.59
-35352,209.66
-35347,208.25
-35193,207.35
-35169,210.16
-35073,206.36
-34990,203.51
-34870,202.76
-34763,203.75
-34720,203.77
-34642,205.1
-34556,198.96
-34312,200.09
-34223,201.78
-34137,204.12
-33998,198.8
-33905,203.29
-33752,200.5
-33723,201.81
-33618,201.83
-33581,201.89
-33559,202.04
-33547,201.06
-33496,200.3
-33433,201.36
-33409,203.62
-33387,204.47
-33332,205.38
-33216,203.6
-33140,198.78
-32917,203.09
-32876,202.8
-32761,197.16
-32698,198.89
-32670,200.29
-32653,199.49
-32607,199.65
-32384,196.2
-32363,196.27
-32301,195.79
-32240,194.89
-32114,195.93
-32042,195.41
-32007,196.47
-31976,194.47
-31958,194.46
-31936,195.27
-31891,195.63
-31808,200.03
-31605,197.8
-31541,197.13
-31468,196.9
-31198,197.65
-31059,196.33
-30931,196.7
-30863,199.3
-30764,195.94
-30728,195.08
-30645,194.43
-30561,194.61
-30485,194.11
-30411,195.25
-30358,192.47
-30201,196.91
-30198,196.42
-30130,193.91
-30077,193.33
-29984,192.51
-29868,192.93
-29842,193.71
-29574,189.95
-29406,188.48
-29155,188
-28826,190.33
-28763,187.14
-28579,182.94
-28451,184.3
-28363,185.99
-28328,186.52
-28232,188.48
-28152,188.25
-28049,191.57
-28002,191.38
-27888,190.97
-27793,191.28
-27731,189.77
-27659,189.24
-27460,189.21
-27416,189.83
-27374,191.01
-27300,192.39
-27255,188.1
-27201,192.26
-27059,192.87
-26999,193.26
-26953,192.69
-26892,193.89
-26774,193.8
-26676,192.82
-26627,193.1
-26477,189.65
-26464,189.16
-26420,192.63
-26322,191.59
-26264,191.82
-26147,189.96
-26023,189.29
-25977,188.99
-25935,189.28
-25916,190.58
-25871,187.59
-25769,189.3
-25764,190.61
-25737,192.71
-25711,191.46
-25636,191.95
-25600,191.53
-25553,191.23
-25492,191.95
-25330,190.06
-25220,194.93
-25135,186.27
-25092,187.39
-25005,188.08
-24908,186.43
-24754,185.44
-24587,185.51
-24511,186.01
-24365,183.77
-24305,184.57
-24066,184.52
-23836,186.54
-23594,183.38
-23401,182.66
-23214,180.69
-22694,180.57
-22320,186.73
-22128,184.68
-21924,183.13
-21651,187.99
-21495,186.78
-21408,193.53
-21327,197.67
-21235,188.6
-21157,190.08
-21064,190.53
-21044,189.4
-20884,186.13
-20799,190.01
-20701,188.49
-20654,185.21
-20600,184.68
-20398,187.02
-20342,187.22
-20281,191.27
-20106,187.38
-19964,190.78
-19841,187.96
-19613,185.23
-19395,187.24
-19263,190.05
-19118,188.4
-19014,190.87
-18878,192.66
-18716,187.76
-18587,193.93
-18458,189.99
-18263,190.47
-18069,193.72
-17934,196.06
-17841,193.6
-17679,191.42
-17618,188.95
-17493,191.52
-17332,191.58
-17203,191.09
-17044,192.71
-16917,188.5
-16885,188.44
-16854,192.97
-16797,191.27
-16727,193.9
-16633,188.57
-16570,187.67
-16537,187.09
-16508,187.45
-16472,188.47
-16441,188.21
-16410,188.73
-16374,187.12
-16346,189.03
-16315,188.52
-16282,188.88
-16252,185.65
-16223,189.01
-16190,184.88
-16161,188.59
-16132,188.64
-16100,187.73
-16074,187.79
-16042,188.96
-16016,188.66
-15986,188.54
-15957,191.72
-15931,190.26
-15905,189.52
-15875,191.21
-15848,187.25
-15820,191.7
-15794,190.41
-15767,189.52
-15741,191.52
-15715,194.38
-15688,193.21
-15662,195.79
-15636,196.96
-15611,192.62
-15585,192.37
-15561,191.59
-15535,191.48
-15511,193
-15485,190.76
-15460,191.89
-15435,193.02
-15410,190.5
-15362,194.65
-15338,195.88
-15286,198.29
-15214,198.63
-15142,202.1
-15045,204.32
-14979,202.93
-14919,205.19
-14848,205.53
-14784,210.25
-14706,213.15
-14640,208.46
-14604,208.65
-14560,207.95
-14522,213.94
-14508,217.19
-14481,211.79
-14461,212.95
-14442,209.51
-14425,211.21
-14404,214.83
-14387,212.43
-14367,214.6
-14347,212.84
-14329,214.22
-14311,218.56
-14291,220.49
-14273,223.24
-14259,227.32
-14237,221.49
-14217,226.19
-14201,224.86
-14164,222.41
-14133,224.24
-14084,224.48
-14065,222.39
-14049,224.41
-14045,223.72
-13987,223.77
-13970,223.51
-13895,222.36
-13818,224.86
-13755,222.16
-13699,222.76
-13596,223.53
-13513,223.27
-13460,224.74
-13433,225.39
-13395,228.92
-13371,227.64
-13331,225.77
-13293,228.27
-13269,230.18
-13231,227.84
-13207,228.81
-13184,229.67
-13146,234.47
-13123,228.99
-13085,225.38
-13061,228.37
-13037,227.65
-13026,229.79
-13004,228.89
-12979,228.47
-12966,228.36
-12954,228.72
-12942,230.63
-12931,227.85
-12919,232.22
-12908,233.17
-12895,227.87
-12885,228.4
-12872,226.51
-12861,227.58
-12849,228.5
-12838,227.79
-12826,227.39
-12813,224.64
-12809,227.9
-12793,231.48
-12781,234.54
-12768,230.53
-12757,228.18
-12747,228.91
-12736,237.49
-12725,234.34
-12714,233.42
-12702,234.62
-12695,238.12
-12680,240.1
-12669,237.97
-12656,237.59
-12645,235.31
-12636,237.97
-12626,239.77
-12614,239.86
-12603,241.73
-12592,235.83
-12581,243.17
-12571,241.14
-12547,242.06
-12514,238.61
-12493,240.95
-12472,242.6
-12461,242.55
-12425,240.33
-12404,238.39
-12393,242.08
-12359,235.8
-12349,239.04
-12323,240.21
-12287,236.6
-12256,238.36
-12230,239.36
-12207,239.24
-12170,236.4
-12134,232.88
-12110,241.27
-12073,237.87
-12052,235.92
-11990,240.57
-11922,237.95
-11877,239.08
-11809,241.11
-11763,241.59
-11695,238.55
-11651,243.86
-11582,235.83
-11537,240.25
-11468,237.83
-11354,236.86
-11317,240.42
-11266,239.41
-11223,236.91
-11178,234.82
-11138,241.56
-11117,237.91
-11094,238.86
-11072,234.68
-11051,239.42
-11031,237.15
-11010,240.71
-10989,238.18
-10967,238.79
-10943,239.44
-10924,241.24
-10903,239.35
-10880,242.15
-10859,242.23
-10836,241.5
-10813,240.02
-10790,247.3
-10770,241.59
-10747,244.24
-10724,242.53
-10704,243.95
-10680,246.94
-10658,248.09
-10637,247.02
-10615,244.27
-10594,249.92
-10571,246.74
-10546,244.42
-10525,246.18
-10505,245.83
-10482,247.67
-10459,246.4
-10438,243
-10415,244.31
-10393,246.97
-10371,250.73
-10351,248.92
-10331,249.38
-10306,248.95
-10283,249.23
-10261,249.65
-10240,250.97
-10218,251.42
-10196,251.14
-10175,253.02
-10155,255.66
-10130,251.03
-10109,253.1
-10087,248.41
-10066,247.85
-10041,255.39
-10020,253.99
-9998,248.92
-9977,258.57
-9955,255.9
-9933,251.56
-9913,253.63
-9893,254.31
-9871,257.17
-9853,258.53
-9831,258.25
-9809,258.74
-9791,255.89
-9770,256.04
-9751,253.99
-9733,254.62
-9715,247.55
-9698,257.13
-9679,266.22
-9661,261.3
-9642,260.7
-9626,267.09
-9610,262.74
-9594,266.9
-9574,269.51
-9557,267.66
-9540,267.17
-9523,269.1
-9503,268.87
-9486,270.14
-9467,264.48
-9450,268.16
-9433,264.84
-9389,264.81
-9367,264.1
-9307,264.4
-9251,265.3
-9236,265
-9211,264.8
-9140,264.8
-9004,267.6
-8886,265.1
-8852,266
-8730,266.9
-8556,267.5
-8417,264.9
-8350,265.7
-8243,263.4
-8185,264
-8043,264.2
-7951,264.4
-7623,263.8
-7606,263
-7574,260.9
-7568,260.6
-7487,265.2
-7411,263.8
-7345,263.7
-7193,262
-7110,259.3
-7043,260.4
-6962,260.9
-6831,259
-6761,261.8
-6597,260.7
-6510,261.3
-6402,258.3
-6245,259.3
-6166,259.6
-6026,260.8
-5976,259.2
-5910,259.7
-5770,260.4
-5711,260.1
-5548,258.4
-5455,260.7
-5324,263
-5238,262.3
-5088,257.6
-5020,258.1
-4930,262.9
-4820,262.1
-4733,259.4
-4622,261.1
-4451,261.2
-4387,262.7
-4352,263.2
-4140,265.5
-4049,266.7
-3984,260.7
-3902,265.5
-3808,265.9
-3631,267.6
-3583,265.2
-3408,265.3
-3361,267.6
-3269,269.8
-3137,268.6
-3032,269.3
-2971,270.7
-2823,271.5
-2697,269.8
-2643,269.1
-2544,271.1
-2393,271.5
-2325,272.8
-2256,271.6
-2159,271.7
-2019,274.9
-1906,275.4
-1857,271.5
-1743,273
-1694,273.4
-1578,275
-1481,274
-1334,273.1
-1306,276.3
-1107,274.6
-999,276.3
-955,274.7
-852,275.3
-758,278.9
-678,273.9
-576,277.9
-464,277.6
-316,276.7
-284,276.7
-143,276.9
-50,278
1,276.7
30,277.9
56,277.4
104,277.5
136,278.1
154,278.07
175,277.56
241,280.25
266,278.31
274,280.24
296,280.91
318,281.69
357,277.8
384,277.25
406,279.13
437,280
488,277.11
518,276.79
552,276.56
557,278.46
582,276.2
615,277.87
637,279.59
669,278.45
701,277.1
730,279.99
762,279.29
793,279.72
822,278.62
875,279.42
914,280.11
958,277.41
983,278.74
1018,279.8
1019,280.06
1040,280.92
1049,280.97
1070,282.84
1099,283.09
1116,282.84
1146,284.51
1166,283.97
1200,284.54
1211,283.69
1251,282.41
1260,282.2
1278,278.43
1307,281.58
1330,284.07
1349,278.36
1390,280.91
1411,279.7
1429,279.73
1449,282.23
1469,280.31
1502,283.12
1530,283.95
1550,283.53
1560,281.83
1573,282.57
1588,281.11
1591,279.36
1603,275.07
1609,271.11
1629,273.78
1640,276.69
1649,278.02
1682,276.66
1690,276.32
1694,277.36
1723,277.64
1734,278.31
1741,276.81
1749,277.6
1752,277.23
1763,277.16
1764,276.4
1773,277.86
1779,280.24
1780,273.07
1794,281.62
1796,281.35
1799,282.8
1814,284.43
1825,281.36
1827,285.91
1833,284.45
1837,284.15
1841,283.65
1843,281.58
1844,283.53
1845,283.18
1846,283.62
1847,286.84
1850,284
1851,287.13
1854,288.05
1855,285.57
1857,283.16
1859,286.63
1862,287.17
1863,285.35
1864,286.65
1867,285.05
1868,288.76
1870,287.16
1873,286.66
1874,291.56
1877,289.33
1880,287.77
1883,292.46
1884,289.49
1886,288.12
1887,294.34
1889,292.34
1890,290.92
1892,295.17
1893,295.09
1894,293.49
1899,296.16
1900,294.22
1902,295.61
1904,295.99
1905,299.02
1906,298.48
1909,301.5
1910,297.87
1911,298.36
1913,301.3
1914,300.7
1916,301.92
1918,303.85
1919,304.61
1920,301.88
1923,304.69
1925,304.84
1928,306.84
1929,305.62
1931,305.74
1932,308.26
1933,307.11
1934,308.35
1935,306.32
1936,308.3
1937,307.41
1938,311.07
1939,310.83
1940,310.38
1941,309.77
1942,312.37
1944,312.36
1945,310.94
1946,312.26
1947,311.61
1948,311.57
1949,309.69
1950,312.83
1952,312.18
1954,312.73
1955,314.71
1956,315.34
1957,315.34
1958,315.34
1959,315.97
1960,316.91
1961,317.64
1962,318.45
1963,318.99
1964,319.62
1965,320.04
1966,321.38
1967,322.16
1968,323.04
1969,324.62
1970,325.68
1971,326.32
1972,327.45
1973,329.68
1974,330.18
1975,331.11
1976,332.04
1977,333.83
1978,335.4
1979,336.84
1980,338.75
1981,340.11
1982,341.45
1983,343.05
1984,344.65
1985,346.12
1986,347.42
1987,349.19
1988,351.57
1989,353.12
1990,354.39
1991,355.61
1992,356.45
1993,357.1
1994,358.83
1995,360.82
1996,362.61
1997,363.73
1998,366.7
1999,368.38
2000,369.55
2001,371.14
2002,373.28
2003,375.8
2004,377.52
2005,379.8
2006,381.9
2007,383.79
2008,385.6
2009,387.43
2010,389.9
2011,391.65
2012,393.85
2013,396.52
2014,398.65
2015,400.83
2016,404.24
2017,406.55
2018,408.52