jump,exit_alt,deploy_alt,freefall
1,13500,6000,7500
2,13500,6000,7500
3,14000,6000,8000
4,13500,6000,7500
5,11000,6000,5000
6,12500,4500,8000
7,13000,5000,8000
8,13500,6000,7500
9,13500,4000,9500
10,13500,4000,9500
11,13500,4000,9500
12,5500,5000,500
13,3500,3000,500
14,13500,5500,8000
15,14000,4500,9500
16,14000,4500,9500
17,14000,4500,9500
18,13500,4000,9500
19,13500,4000,9500
20,13500,4000,9500
21,13500,4000,9500
22,14000,4500,9500
23,13500,4000,9500
24,13500,5500,8000
25,13500,4000,9500
26,7000,4000,3000
27,14000,4000,10000
28,13500,5000,8500
29,13500,4500,9000
30,13500,4500,9000
31,14000,4500,9500
32,14000,4500,9500
33,7000,4500,2500
34,6000,4000,2000
35,14000,5000,9000
36,14000,5000,9000
37,5500,4000,1500
38,14000,4000,10000
39,14000,3500,10500
40,5000,3000,2000
41,13500,3000,10500
42,13500,3500,10000
43,13500,3500,10000
44,13500,3500,10000
45,13500,3000,10500
46,13000,4000,9000
47,13500,6000,7500
48,15000,3500,11500
49,14000,4000,10000
50,14000,3500,10500
51,13500,3500,10000
52,13500,4000,9500
53,13500,4000,9500
54,13500,4000,9500
55,13500,4000,9500
56,13500,4000,9500
57,14500,4500,10000
58,13500,4500,9000
59,13500,4500,9000
60,13500,5000,8500
61,13500,3500,10000
62,13500,3500,10000
63,13500,3500,10000
64,13500,3500,10000
65,13500,3500,10000
66,13500,3500,10000
67,5000,4500,500
68,5000,4500,500
69,13500,6000,7500
70,13500,4000,9500
71,14000,4000,10000
72,14000,3500,10500
73,5000,4000,1000
74,13500,3500,10000
75,13500,3500,10000
76,13500,3500,10000
77,13500,3000,10500
78,13500,6000,7500
79,9500,4000,5500
80,9500,4000,5500
81,10500,4000,6500
82,9500,4000,5500
83,13500,3500,10000
84,13500,3500,10000
85,13500,3500,10000
86,13500,3500,10000
87,13500,3500,10000
88,13500,3500,10000
89,10500,3500,7000
90,10500,1000,9500
91,13500,8000,5500
92,13500,3500,10000
93,15000,3500,11500
94,10500,3500,7000
95,10500,3500,7000
96,10500,3500,7000
97,8500,4000,4500
98,8500,3500,5000
99,10500,3500,7000
100,10500,3500,7000
101,10500,3500,7000
102,9500,3500,6000
103,10000,3000,7000
104,9500,3500,6000
105,10000,3000,7000
106,10000,2500,7500
107,9750,3000,6750
108,9940,2400,7540
109,10700,2520,8180
110,11000,2680,8320
111,9610,2550,7060
112,9590,3040,6550
113,10700,2470,8230
114,10500,2220,8280
115,10200,2490,7710
116,10700,2730,7970
117,4590,3790,800
118,4670,3740,930
119,10400,2640,7760
120,11300,2650,8650
121,11200,2510,8690
122,10800,2900,7900
123,9880,3380,6500
124,8610,3040,5570
125,9100,2830,6270
126,9230,2610,6620
127,11300,3430,7870
128,12400,2960,9440
129,11400,2810,8590
130,11100,2810,8290
131,10500,2540,7960
132,7000,6500,500
133,7000,6500,500
134,7000,6500,500
135,7000,6500,500
136,7000,6500,500
137,13100,6140,6960
138,11200,3050,8150
139,11200,3150,8050
140,11300,2570,8730
141,10800,3230,7570
142,11500,2390,9110
143,11000,2210,8790
144,8460,2800,5660
145,10400,2580,7820
146,10500,2670,7830
147,10400,2660,7740
148,10100,2500,7600
149,9690,5930,3760
150,14100,2980,11120
151,13700,3030,10670
152,13700,2680,11020
153,13400,2460,10940
154,13800,2590,11210
155,13700,2190,11510
156,11000,2440,8560
157,11500,2410,9090
158,10700,2390,8310
159,10600,2220,8380
160,11600,3780,7820
161,11000,10500,500
162,14000,2340,11660
163,13800,2420,11380
164,10900,2410,8490
165,11400,2490,8910
166,10700,2060,8640
167,10700,2630,8070
168,10900,2660,8240
169,10700,2530,8170
170,8370,3440,4930
171,11400,2320,9080
172,13900,2370,11530
173,13700,2160,11540
174,13900,2010,11890
175,14000,2130,11870
176,13800,2070,11730
177,11200,2140,9060
178,11100,2350,8750
179,11500,3700,7800
180,8610,2670,5940
181,8210,3130,5080
182,8220,3150,5070
183,13700,2400,11300
184,13900,2040,11860
185,10900,2740,8160
186,10600,2560,8040
187,8600,3680,4920
188,13700,2390,11310
189,13700,2220,11480
190,13400,2650,10750
191,13700,2310,11390
192,13300,2260,11040
193,13800,2130,11670
194,13400,2570,10830
195,13200,2070,11130
196,13700,3090,10610
197,13400,2560,10840
198,13300,2430,10870
199,13400,2080,11320
200,13100,2370,10730
201,10300,2470,7830
202,11700,2100,9600
203,10700,2770,7930
204,11600,3660,7940
205,11800,2580,9220
206,11500,2710,8790
207,11600,2340,9260
208,10600,2730,7870
209,10400,2220,8180
210,11800,2350,9450
211,11600,2500,9100
212,10600,1490,9110
213,10500,3850,6650
214,10400,2690,7710
215,10600,1680,8920
216,10600,2940,7660
217,10500,2330,8170
218,10600,2540,8060
219,10500,2560,7940
220,11000,2350,8650
221,10900,2390,8510